id,id_3char,name,latitude,longitude
afago,ago,angola,-11.202692,17.873887
afbdi,bdi,burundi,-3.373056,29.918886
afben,ben,benin,9.30769,2.315834
afbfa,bfa,burkina faso,12.238333,-1.561593
afbwa,bwa,botswana,-22.328474,24.684866
afcaf,caf,central african republic,6.611111,20.939444
afciv,civ,cote d'ivoire,7.539989,-5.54708
afcmr,cmr,cameroon,7.369722,12.354722
afcod,cod,democratic republic of the congo,-4.038333,21.758664
afcog,cog,republic of the congo,-0.228021,15.827659
afcom,com,comoros,-11.875001,43.872219
afcpv,cpv,cape verde,16.002082,-24.013197
afdji,dji,djibouti,11.825138,42.590275
afdza,dza,algeria,28.033886,1.659626
afegy,egy,egypt,26.820553,30.802498
aferi,eri,eritrea,15.179384,39.782334
afesh,esh,western sahara,24.215527,-12.885834
afeth,eth,ethiopia,9.145,40.489673
afgab,gab,gabon,-0.803689,11.609444
afgha,gha,ghana,7.946527,-1.023194
afgin,gin,guinea,9.945587,-9.696645
afgmb,gmb,gambia,13.443182,-15.310139
afgnb,gnb,guinea-bissau,11.803749,-15.180413
afgnq,gnq,equatorial guinea,1.650801,10.267895
afken,ken,kenya,-0.023559,37.906193
aflbr,lbr,liberia,6.428055,-9.429499
aflby,lby,libya,26.3351,17.228331
aflso,lso,lesotho,-29.609988,28.233608
afmar,mar,morocco,31.791702,-7.09262
afmdg,mdg,madagascar,-18.766947,46.869107
afmli,mli,mali,17.570692,-3.996166
afmoz,moz,mozambique,-18.665695,35.529562
afmrt,mrt,mauritania,21.00789,-10.940835
afmus,mus,mauritius,-20.348404,57.552152
afmwi,mwi,malawi,-13.254308,34.301525
afmyt,myt,mayotte,-12.8275,45.166244
afnam,nam,namibia,-22.95764,18.49041
afner,ner,niger,17.607789,8.081666
afnga,nga,nigeria,9.081999,8.675277
afreu,reu,reunion,-21.115141,55.536384
afrwa,rwa,rwanda,-1.940278,29.873888
afsdn,sdn,sudan,12.862807,30.217636
afsen,sen,senegal,14.497401,-14.452362
afshn,shn,saint helena,-24.143474,-10.030696
afsle,sle,sierra leone,8.460555,-11.779889
afsom,som,somalia,5.152149,46.199616
afssd,ssd,south sudan,6.877,31.307
afstp,stp,sao tome and principe,0.1864,6.6131
afswz,swz,swaziland,-26.522503,31.465866
afsyc,syc,seychelles,-4.679574,55.491977
aftcd,tcd,chad,15.454166,18.732207
aftgo,tgo,togo,8.619543,0.824782
aftun,tun,tunisia,33.886917,9.537499
aftza,tza,tanzania,-6.369028,34.888822
afuga,uga,uganda,1.373333,32.290275
afzaf,zaf,south africa,-30.559482,22.937506
afzmb,zmb,zambia,-13.133897,27.849332
afzwe,zwe,zimbabwe,-19.015438,29.154857
anata,ata,antarctica,-75.250973,-0.071389
anatf,atf,french south antarctic territory,-49.2804,69.3486
anbvt,bvt,bouvet island,-54.423199,3.413194
anhmd,hmd,heard island and mcdonald islands,-53.08181,73.504158
ansgs,sgs,south georgia south sandwich islands,-54.4296,-36.5879
asafg,afg,afghanistan,33.93911,67.709953
asare,are,united arab emirates,23.424076,53.847818
asarm,arm,armenia,40.069099,45.038189
asaze,aze,azerbaijan,40.143105,47.576927
asbgd,bgd,bangladesh,23.684994,90.356331
asbhr,bhr,bahrain,25.930414,50.637772
asbrn,brn,brunei,4.535277,114.727669
asbtn,btn,bhutan,27.514162,90.433601
ascck,cck,cocos (keeling) islands,-12.164165,96.870956
aschn,chn,china,35.86166,104.195397
ascxr,cxr,christmas island,-10.447525,105.690449
ascyp,cyp,cyprus,35.126413,33.429859
asgeo,geo,georgia,42.315407,43.356892
ashkg,hkg,hong kong,22.396428,114.109497
asidn,idn,indonesia,-0.789275,113.921327
asind,ind,india,20.593684,78.96288
asiot,iot,british indian ocean territory,-6.343194,71.876519
asirn,irn,iran,32.427908,53.688046
asirq,irq,iraq,33.223191,43.679291
asisr,isr,israel,31.046051,34.851612
asjor,jor,jordan,30.585164,36.238414
asjpn,jpn,japan,36.204824,138.252924
askaz,kaz,kazakhstan,48.019573,66.923684
askgz,kgz,kyrgyzstan,41.20438,74.766098
askhm,khm,cambodia,12.565679,104.990963
askor,kor,south korea,35.907757,127.766922
askwt,kwt,kuwait,29.31166,47.481766
aslao,lao,laos,19.85627,102.495496
aslbn,lbn,lebanon,33.854721,35.862285
aslka,lka,sri lanka,7.873054,80.771797
asmac,mac,macau,22.198745,113.543873
asmdv,mdv,maldives,3.202778,73.22068
asmid,mid,midway,28.2072,-177.3735
asmmr,mmr,burma,21.913965,95.956223
asmng,mng,mongolia,46.862496,103.846656
asmys,mys,malaysia,4.210484,101.975766
asnpl,npl,nepal,28.394857,84.124008
asomn,omn,oman,21.512583,55.923255
aspak,pak,pakistan,30.375321,69.345116
asphl,phl,philippines,12.879721,121.774017
asprk,prk,north korea,40.339852,127.510093
aspse,pse,palestine,31.9522,35.2332
asqat,qat,qatar,25.354826,51.183884
assau,sau,saudi arabia,23.885942,45.079162
assgp,sgp,singapore,1.352083,103.819836
assyr,syr,syria,34.802075,38.996815
astha,tha,thailand,15.870032,100.992541
astjk,tjk,tajikistan,38.861034,71.276093
astkm,tkm,turkmenistan,38.969719,59.556278
astls,tls,timor-leste,-8.874217,125.727539
astur,tur,turkey,38.963745,35.243322
astwn,twn,taiwan,23.69781,120.960515
asuzb,uzb,uzbekistan,41.377491,64.585262
asvnm,vnm,vietnam,14.058324,108.277199
asyar,yar,yemen arab republic,15.354722,44.206667
asyem,yem,yemen,15.552727,48.516388
asymd,ymd,democratic yemen,12.8,45.033
eualb,alb,albania,41.153332,20.168331
euand,and,andorra,42.546245,1.601554
euaut,aut,austria,47.516231,14.550072
eubel,bel,belgium,50.503887,4.469936
eubgr,bgr,bulgaria,42.733883,25.48583
eubih,bih,bosnia and herzegovina,43.915886,17.679076
eublr,blr,belarus,53.709807,27.953389
eublx,blx,belgium-luxembourg,49.92,5.42
euche,che,switzerland,46.818188,8.227512
euchi,chi,channel islands,49.214439,2.13125
eucsk,csk,czechoslovakia,49.817492,15.472962
eucze,cze,czech republic,49.817492,15.472962
euddr,ddr,democratic republic of germany,52.520008,13.405
eudeu,deu,germany,51.165691,10.451526
eudnk,dnk,denmark,56.26392,9.501785
euesp,esp,spain,40.463667,-3.74922
euest,est,estonia,58.595272,25.013607
eufdr,fdr,federal republic of germany,52.520008,13.404954
eufin,fin,finland,61.92411,25.748151
eufra,fra,france,46.227638,2.213749
eufro,fro,faroe islands,61.892635,-6.911806
eugbr,gbr,united kingdom,55.378051,-3.435973
eugib,gib,gibraltar,36.137741,-5.345374
eugrc,grc,greece,39.074208,21.824312
euhrv,hrv,croatia,45.1,15.2
euhun,hun,hungary,47.162494,19.503304
euimn,imn,isle of man,54.236107,-4.548056
euirl,irl,ireland,53.41291,-8.24389
euisl,isl,iceland,64.963051,-19.020835
euita,ita,italy,41.87194,12.56738
euksv,ksv,kosovo,42.602636,20.902977
eulie,lie,liechtenstein,47.166,9.555373
eultu,ltu,lithuania,55.169438,23.881275
eulux,lux,luxembourg,49.815273,6.129583
eulva,lva,latvia,56.879635,24.603189
eumco,mco,monaco,43.750298,7.412841
eumda,mda,moldova,47.411631,28.369885
eumkd,mkd,macedonia,41.6086,21.7453
eumlt,mlt,malta,35.937496,14.375416
eumne,mne,montenegro,42.708678,19.37439
eunld,nld,netherlands,52.132633,5.291266
eunor,nor,norway,60.472024,8.468946
eupol,pol,poland,51.919438,19.145136
euprt,prt,portugal,39.399872,-8.224454
eurou,rou,romania,45.943161,24.96676
eurus,rus,russia,61.52401,105.318756
euscg,scg,serbia and montenegro,44.8166634,20.466664
eusjm,sjm,svalbard,77.875,20.9752
eusmr,smr,san marino,43.94236,12.457777
eusrb,srb,serbia,44.016521,21.005859
eusun,sun,ussr,55.752121,37.617664
eusvk,svk,slovakia,48.669026,19.699024
eusvn,svn,slovenia,46.151241,14.995463
euswe,swe,sweden,60.128161,18.643501
euukr,ukr,ukraine,48.379433,31.16558
euvat,vat,holy see (vatican city),41.9029,12.4534
euyug,yug,yugoslavia,44.812646,20.463932
naabw,abw,aruba,12.52111,-69.968338
naaia,aia,anguilla,18.220554,-63.068615
naant,ant,netherlands antilles,12.226079,-69.060087
naatg,atg,antigua and barbuda,17.060816,-61.796428
nabes,bes,bonaire,12.2019,-68.2624
nabhs,bhs,bahamas,25.03428,-77.39628
nablm,blm,saint barthelemy,17.9,-62.8333
nablz,blz,belize,17.189877,-88.49765
nabmu,bmu,bermuda,32.321384,-64.75737
nabrb,brb,barbados,13.193887,-59.543198
nacan,can,canada,56.130366,-106.346771
nacri,cri,costa rica,9.748917,-83.753428
nacub,cub,cuba,21.521757,-77.781167
nacuw,cuw,curacao,12.1696,-68.99
nacym,cym,cayman islands,19.513469,-80.566956
nadma,dma,dominica,15.414999,-61.370976
nadom,dom,dominican republic,18.735693,-70.162651
nagrd,grd,grenada,12.262776,-61.604171
nagrl,grl,greenland,71.706936,-42.604303
nagtm,gtm,guatemala,15.783471,-90.230759
nahnd,hnd,honduras,15.199999,-86.241905
nahti,hti,haiti,18.971187,-72.285215
najam,jam,jamaica,18.109581,-77.297508
nakna,kna,saint kitts and nevis,17.357822,-62.782998
nalca,lca,saint lucia,13.909444,-60.978893
namaf,maf,saint maarten,18.073099,-63.082199
namex,mex,mexico,23.634501,-102.552784
namsr,msr,montserrat,16.742498,-62.187366
namtq,mtq,martinique,14.641528,-61.024174
nanaa,naa,netherland antilles and aruba,12.52111,-69.968338
nanic,nic,nicaragua,12.865416,-85.207229
napan,pan,panama,8.537981,-80.782127
napci,pci,pacific island (us),-7.933333,156.533333
napcz,pcz,panama canal zone,9.117267864,-79.71876379
napri,pri,puerto rico,18.220833,-66.590149
naslv,slv,el salvador,13.794185,-88.89653
naspm,spm,saint pierre and miquelon,46.941936,-56.27111
